"headline","link","date"
"MSI does Black Friday early for GPUs: NVIDIA RTX 4070 Ti Super is $120 off with a free game","https://www.tweaktown.com/news/101548/msi-does-black-friday-early-for-gpus-nvidia-rtx-4070-ti-super-is-120-off-with-free-game/index.html","2024-11-06T20:11:04Z"
"The Alienware Aurora R16 RTX 4070 Gaming PC Is Down to $1399.99 Ahead of Black Friday","https://www.ign.com/articles/dell-alienware-aurora-r16-rtx-4070-super-gaming-pc-early-black-friday-deal-2024","2024-11-06T19:40:00Z"
"Can't launch The First Descendant on Steam (seems driver related?)","https://askubuntu.com/questions/1532257/cant-launch-the-first-descendant-on-steam-seems-driver-related","2024-11-06T19:25:32Z"
"Apple Asks Foxconn to Build AI Servers in Taiwan","https://www.iphoneincanada.ca/2024/11/06/apple-foxconn-ai-servers-in-taiwan/","2024-11-06T18:52:27Z"
"Windows 11 Canary Build 27744 returns the Gamepad keyboard, and fixes old dGPUs","https://www.neowin.net/news/windows-11-canary-build-27744-returns-the-gamepad-keyboard-and-fixes-old-dgpus/","2024-11-06T18:28:01Z"
"Trump win sparks big rally in stocks","https://www.aljazeera.com/economy/2024/11/6/trump-win-sparks-big-rally-in-stocks","2024-11-06T18:24:23Z"
"Nvidia announces new robot AI learning and simulation tools","https://siliconangle.com/2024/11/06/nvidia-announces-new-robot-ai-learning-simulation-tools/","2024-11-06T18:00:18Z"
"AMD breaks Intel's long-running reign in the data center landscape with $3.549 billion in revenue — but NVIDIA continues to top the charts with AI chips","https://www.windowscentral.com/hardware/cpu-gpu-components/amd-breaks-intels-long-running-reign-in-the-data-center-landscape-with-usd3-549-billion-in-revenue-but-nvidia-continues-to-top-the-charts-with-ai-chips","2024-11-06T17:45:14Z"
"Super Micro Computer stock bleeds 24% after it can’t even say when it will post actual earnings","https://qz.com/super-micro-stock-drops-weaker-financial-reports-1851690896","2024-11-06T17:24:18Z"
"Supreme Court hears Facebook’s bid to toss shareholder suit over Cambridge Analytica scandal","https://nypost.com/2024/11/06/business/scotus-hears-facebook-bid-to-toss-shareholder-suit-over-cambridge-analytica-scandal/","2024-11-06T17:02:44Z"
"I don't think I've ever seen an Asus laptop with Nvidia graphics this cheap","https://www.creativebloq.com/tech/laptops/i-dont-think-ive-ever-seen-an-asus-laptop-with-nvidia-graphics-this-cheap","2024-11-06T16:41:25Z"
"Select Micro Centers: Zotac GeForce RTX 4070 Twin Edge OC RGB 12GB GDDR6X GPU $456 + Free Store Pickup Only","https://slickdeals.net/f/17867247-zotac-nvidia-geforce-rtx-4070-twin-edge-rgb-oc-dual-fan-12gb-gddr6x-mc-455-99?utm_source=rss&utm_content=fp&utm_medium=RSS2","2024-11-06T16:29:23Z"
"Nvidia and Google stock rise while Meta and TSMC fall after Trump's election win","https://www.yahoo.com/tech/nvidia-google-stock-rise-while-162603437.html","2024-11-06T16:26:03Z"
"Nvidia and Google stock rise while Meta and TSMC fall after Trump's election win","https://qz.com/google-nvidia-meta-tsmc-stock-amazon-trump-election-win-1851690688","2024-11-06T16:26:03Z"
"Opinion: Broadcom (AVGO) Is the Best Chip Stock to Buy for AI’s Next Growth Phase","https://biztoc.com/x/367824928f3798f6","2024-11-06T16:03:20Z"
"Nvidia advances robot learning and humanoid development with AI and simulation tools","https://venturebeat.com/ai/nvidia-advances-robot-learning-and-humanoid-development-with-ai-and-simulation-tools/","2024-11-06T16:00:00Z"
"Nvidia becomes the world's most valuable company by market capitalization — Chipmaker dethrones Apple for the second time this year","https://www.tomshardware.com/tech-industry/nvidia-becomes-the-worlds-most-valuable-company-by-market-capitalization-chipmaker-dethrones-apple-for-the-second-time-this-year","2024-11-06T15:52:15Z"
"Super Micro Is Coming Up Too Short","https://biztoc.com/x/86375f9a2135fccf","2024-11-06T15:41:06Z"
"Take that, Apple: Nvidia is once again the world's most valuable company at $3.43 trillion","https://www.pcgamer.com/hardware/take-that-apple-nvidia-is-once-again-the-worlds-most-valuable-company-at-usd3-43-trillion/","2024-11-06T15:36:53Z"
"Taiwanese materials analysis firm buys Sunnyvale office","https://biztoc.com/x/ec19951d6c06cfda","2024-11-06T15:29:50Z"
"L&T-E2E deal throws up some questions","https://www.thehindubusinessline.com/portfolio/stock-fundamental-analysis-india/lt-e2e-deal-throws-up-some-questions/article68837414.ece","2024-11-06T15:23:59Z"
"Stop buying these 10 popular GPUs for gaming","https://www.xda-developers.com/dont-buy-these-gpus-for-gaming/","2024-11-06T15:17:56Z"
"Steam’s new recording features allow deep integration with games","https://www.polygon.com/news/475098/steam-game-recording-pc-deck-features","2024-11-06T15:15:06Z"
"Steam Game Recording Arrives For All Games With Some Great Features","https://hothardware.com/news/steam-game-recording-arrives","2024-11-06T15:13:00Z"
"Apple in talks with Foxconn to build Apple Intelligence servers in Taiwan","https://appleinsider.com/articles/24/11/06/apple-in-talks-with-foxconn-to-build-apple-intelligence-servers-in-taiwan","2024-11-06T15:01:30Z"
"HP Omen 45L Gaming Desktop: i7-14700K, RTX 4080 SUPER, 16GB DDR5, 1TB SSD $1999.99","https://slickdeals.net/f/17868237-hp-omen-45l-gaming-desktop-i7-14700k-rtx-4080-super-16gb-ddr5-1tb-ssd-1999-99?utm_source=rss&utm_content=ht&utm_medium=RSS2","2024-11-06T14:48:07Z"
"How NVIDIA Overtook Apple As The Most Valuable Company In The World","https://hothardware.com/news/how-nvidia-overtook-apple-as-the-most-valuable-company-in-the","2024-11-06T14:47:00Z"
"Nvidia or Apple: Which AI Stock Should You Buy This November?","https://biztoc.com/x/8539d959ab3019aa","2024-11-06T14:23:55Z"
"BOXER-8642AI AI Edge Fanless Embedded AI System with NVIDIA Jetson AGX Orin","https://www.geeky-gadgets.com/ai-edge-fanless-embedded-ai-pc/","2024-11-06T14:15:17Z"
"Steam's game recorder is now available to everyone","https://slashdot.org/firehose.pl?op=view&amp;id=175416969","2024-11-06T14:13:45Z"
"As Nvidia flips Apple at $3.43T, AI coins follow suit with big gains!","https://ambcrypto.com/as-nvidia-flips-apple-at-3-43t-ai-coins-follow-suit-with-big-gains/","2024-11-06T14:00:12Z"
"AMD Ryzen 7 9800X3D review: king of the hill","https://www.digitaltrends.com/computing/amd-ryzen-7-9800x3d-review/","2024-11-06T14:00:03Z"
"LG’s beloved 2024 120Hz C4 OLED smart TV with AirPlay just hit the $1,394 Amazon low (Up to $1,300 off)","http://9to5toys.com/2024/11/06/lg-2024-120hz-c4-oled-smart-tv-airplay/","2024-11-06T13:55:19Z"
"Microcenter - ASUS ROG Strix G15DK-MH764Ti Gaming PC $699.99","https://www.dealcatcher.com/deals/computers-office/desktops/asus-rog-strix-gaming-pc-998321448","2024-11-06T13:41:00Z"
"Thailand readies strategy to prosper in Trump era","https://www.bangkokpost.com/business/general/2897412/thailand-readies-strategy-to-prosper-in-trump-era","2024-11-06T13:40:00Z"
"Why Is Meta Platforms, Inc. (META) a Top AI Investment Pick?","https://finance.yahoo.com/news/why-meta-platforms-inc-meta-130548598.html","2024-11-06T13:05:48Z"
"How big is Nvidia now? It just surpassed Apple as the world's biggest company and is currently worth more than Amazon and Meta combined. Won't somebody think of the egos? [Interesting]","https://www.fark.com/comments/13454154/How-big-is-Nvidia-now-It-just-surpassed-Apple-as-worlds-biggest-company-is-currently-worth-more-than-Amazon-Meta-combined-Wont-somebody-think-of-egos","2024-11-06T12:38:00Z"
"Super Micro slumps as weak forecast, annual report uncertainty fuel investor angst","https://www.channelnewsasia.com/business/super-micro-slumps-weak-forecast-annual-report-uncertainty-fuel-investor-angst-4730436","2024-11-06T12:13:25Z"
"Super Micro slumps as weak forecast, annual report uncertainty fuel investor worries","https://www.channelnewsasia.com/business/super-micro-slumps-weak-forecast-annual-report-uncertainty-fuel-investor-worries-4730436","2024-11-06T12:13:25Z"
"Nvidia Dethrones Apple As World's Most Valuable Company","https://www.ibtimes.com/nvidia-dethrones-apple-worlds-most-valuable-company-3749777","2024-11-06T12:05:01Z"
"Nvidia Is Joining the Dow Jones Industrial Average. Will This ""Magnificent Seven"" Stock Be Next?","https://biztoc.com/x/6a39a05981d3dc30","2024-11-06T12:00:42Z"
"Nvidia Tops Apple as Most Valuable Company","https://biztoc.com/x/625e39c757fe0948","2024-11-06T12:00:28Z"
"Kubuntu 24.04, it's been a few months now ...","https://www.dedoimedo.com/computers/kubuntu-24-04-second.html","2024-11-06T12:00:00Z"
"Valve just single-handedly upgraded content creation for PC gamers – Steam’s Game Recording feature is now available to all","https://www.techradar.com/gaming/pc-gaming/valve-just-single-handedly-upgraded-content-creation-for-pc-gamers-steams-game-recording-feature-is-now-available-to-all","2024-11-06T11:49:26Z"
"Steam's new game recording feature is out of beta and fully available, so you can share clips of your best moments just like a Twitch streamer","https://www.gamesradar.com/platforms/pc-gaming/steams-new-game-recording-feature-is-out-of-beta-and-fully-available-so-you-can-share-clips-of-your-best-moments-just-like-a-twitch-streamer/","2024-11-06T11:25:16Z"
"PS5 Pro review: a high-performing enthusiast console with a pricey sting in the tail","https://www.techradar.com/gaming/ps5-pro-review","2024-11-06T11:00:43Z"
